date,open,close,high,low,volume,code
2019-05-30,8974.4,8943.35,8974.4,8845.83,264232017.0,399001
2019-05-31,8939.41,8922.69,9016.16,8892.12,248794738.0,399001
2019-06-03,8953.37,8856.99,9012.08,8826.75,273451165.0,399001
2019-06-04,8854.5,8748.27,8868.09,8697.5,238852099.0,399001
2019-06-05,8831.13,8746.05,8851.12,8729.21,224442496.0,399001
2019-06-06,8741.83,8584.94,8741.83,8557.58,230614565.0,399001
2019-06-10,8621.73,8711.79,8748.97,8582.48,205315211.0,399001
2019-06-11,8721.27,9037.67,9045.12,8718.47,316531070.0,399001
2019-06-12,9008.56,8954.72,9038.87,8930.91,295738673.0,399001
2019-06-13,8948.58,8951.61,8974.8,8866.22,268631473.0,399001
2019-06-14,8956.92,8810.13,8994.16,8801.33,273658053.0,399001
2019-06-17,8807.84,8780.87,8864.77,8753.42,205212912.0,399001
2019-06-18,8785.77,8804.32,8839.23,8722.93,193696117.0,399001
2019-06-19,9051.85,8925.73,9084.18,8923.44,275307784.0,399001
2019-06-20,8923.57,9134.96,9183.15,8900.75,317210774.0,399001
2019-06-21,9181.64,9214.27,9252.55,9158.32,351673725.0,399001
2019-06-24,9220.23,9212.12,9251.48,9171.35,286084416.0,399001
2019-06-25,9206.18,9118.1,9206.18,9004.76,279970008.0,399001
2019-06-26,9064.13,9122.43,9164.28,9040.32,223827834.0,399001
2019-06-27,9154.04,9239.48,9274.42,9152.63,258679864.0,399001
2019-06-28,9236.06,9178.31,9236.06,9126.89,243002500.0,399001
2019-07-01,9384.79,9530.46,9530.46,9339.77,337747139.0,399001
2019-07-02,9516.42,9545.52,9560.52,9483.16,306531371.0,399001
2019-07-03,9519.8,9419.84,9520.38,9376.31,257138501.0,399001
2019-07-04,9435.04,9368.3,9466.02,9323.07,232802183.0,399001
2019-07-05,9379.94,9443.21,9464.39,9345.79,198703077.0,399001
2019-07-08,9419.69,9186.29,9420.24,9124.16,260279958.0,399001
2019-07-09,9178.91,9198.79,9221.72,9119.65,188090827.0,399001
2019-07-10,9231.86,9166.15,9239.28,9130.53,187294334.0,399001
2019-07-11,9216.95,9152.77,9282.95,9121.46,190345675.0,399001
2019-07-12,9161.27,9213.38,9236.42,9122.41,186186263.0,399001
